qid,temperature,n_runs,n_hallu,hrr,trigger,hallu_span
tqa-55,0.7,5,0,0.0,,
tqa-56,0.7,5,0,0.0,,
tqa-57,0.7,5,0,0.0,,
tqa-58,0.7,5,0,0.0,,
tqa-59,0.7,5,0,0.0,,
tqa-60,0.7,5,0,0.0,,
tqa-61,0.7,5,0,0.0,,
tqa-62,0.7,5,0,0.0,,
tqa-63,0.7,5,0,0.0,,
tqa-64,0.7,5,0,0.0,,
tqa-65,0.7,5,0,0.0,,
tqa-66,0.7,5,0,0.0,,
tqa-67,0.7,5,0,0.0,,
tqa-68,0.7,5,0,0.0,,
tqa-69,0.7,5,0,0.0,,
tqa-70,0.7,5,0,0.0,,
tqa-71,0.7,5,0,0.0,,
tqa-72,0.7,5,0,0.0,,
tqa-73,0.7,5,0,0.0,,
tqa-74,0.7,5,0,0.0,,
tqa-75,0.7,5,0,0.0,,
tqa-76,0.7,5,0,0.0,,
tqa-77,0.7,5,0,0.0,,
tqa-78,0.7,5,0,0.0,,
tqa-79,0.7,5,0,0.0,,
tqa-80,0.7,5,0,0.0,,
tqa-81,0.7,5,0,0.0,,
tqa-82,0.7,5,0,0.0,,
tqa-83,0.7,5,0,0.0,,
tqa-84,0.7,5,0,0.0,,
tqa-85,0.7,5,0,0.0,,
tqa-86,0.7,5,0,0.0,,
tqa-87,0.7,5,0,0.0,,
tqa-88,0.7,5,0,0.0,,
tqa-89,0.7,5,0,0.0,,
tqa-90,0.7,5,0,0.0,,
tqa-91,0.7,5,0,0.0,,
tqa-92,0.7,5,0,0.0,,
tqa-93,0.7,5,0,0.0,,
tqa-94,0.7,5,0,0.0,,
tqa-95,0.7,5,0,0.0,,
tqa-96,0.7,5,0,0.0,,
tqa-97,0.7,5,0,0.0,,
tqa-98,0.7,5,0,0.0,,
tqa-99,0.7,5,0,0.0,,
